2016/2/29,aarachminov,405060,BR,0.3,D,,,,VS2,4.22,4.25,2.69,4.22-4.25x2.69,Very Good,GIA,2500,-22,1950,63.5,56,m,STK,0,n,,Excellent,Excellent,None,,,37,,40.6,,GIA 6167685199,,6167685199,,,,,,,,CHINA,1,G,585,66701,0.1,6670.1,73371.1,17.55,2001.051,1334.034,5602.8868,75638.9718,1351.336494,307.1219304,300,77597.43022,84267,3073.612,85154,887.2307692,78484.66099,0.208456454,85154
2016/2/29,aarachminov,405115,BR,0.3,D,,,,VS1,4.23,4.24,2.7,4.23-4.24x2.7,Very Good,GIA,2600,-27,1898,63.7,58,stk,TK,0,n,,Very Good,Very Good,None,,,35,,41.4,,GIA 2161011147,,2161011147,,,,,,,,CHINA,1,M,569.4,64922,0.1,6492.2,71414.2,17.082,1947.68964,1298.45976,5453.451952,73621.60135,1315.294937,298.9306674,300,75535.82696,82028,2993.008,82915,887.2307692,76423.05773,0.208538548,82915
2016/2/29,aarachminov,358077,BR,0.3,E,,,,SI2,4.36,4.32,2.61,4.36-4.32x2.61,Excellent,GIA,2000,-27,1460,60.2,61,m,STK,0,n,,Excellent,Very Good,None,,,34,,40.8,,GIA 5161019623,,5161019623,,,,,,,,ISRAEL,1,G,438,49940,0.1,4994,54934,13.14,1498.2228,998.8152,4194.96304,56632.00104,1011.765336,229.9466673,300,58173.71304,63167,2314.012,64054,887.2307692,59060.94381,0.209397312,64054
2016/2/29,aarachminov,454379,BR,0.3,E,,,,VVS2,4.35,4.38,2.66,4.35-4.38x2.66,Excellent,GIA,2500,-20,2000,61,59,tn,M,0,n,,Excellent,Excellent,None,,,33,,41.6,,GIA 6212349847,,6212349847,,,,,,,,ISRAEL,1,G,600,68412,0.1,6841.2,75253.2,18,2052.36,1368.24,5746.608,77579.208,1386,315,300,79580.208,86421,3151.156,87308,887.2307692,80467.43877,0.20838685,87308
2016/2/29,aarachminov,420927,BR,0.3,H,,,,VS1,4.34,4.36,2.62,4.34-4.36x2.62,Excellent,GIA,2100,-22,1638,60.1,59,m,STK,0,n,,Excellent,Excellent,None,,,33,,41,,GIA 5196190773,,5196190773,,,,,,,,CHINA,1,G,491.4,56029,0.1,5602.9,61631.9,14.742,1680.88284,1120.58856,4706.437712,63536.90911,1135.125742,257.9831231,300,65230.01798,70832,2589.952,71719,887.2307692,66117.24875,0.208987463,71719
2016/2/29,aarachminov,347654,BR,0.3,E,,,,VS1,4.23,4.24,2.69,4.23-4.24x2.69,Very Good,GIA,2400,-21,1896,63.5,55,stk,TK,0,n,,Excellent,Excellent,Faint,,,36.5,,40.4,,GIA 2156468808,,2156468808,,,,,,,,CHINA,1,G,568.8,64854,0.1,6485.4,71339.4,17.064,1945.63728,1297.09152,5447.738304,73544.4671,1313.916886,298.6174741,300,75457.00146,81942,2989.912,82829,887.2307692,76344.23223,0.208537746,82829
2016/2/29,aarachminov,420988,BR,0.3,H,,,,VVS2,4.32,4.33,2.63,4.32-4.33x2.63,Excellent,GIA,2200,-22,1716,60.8,59,m,STK,0,n,,Excellent,Excellent,None,,,33.5,,40.8,,GIA 6192591391,,6192591391,,,,,,,,ISRAEL,1,G,514.8,58697,0.1,5869.7,64566.7,15.444,1760.92488,1173.94992,4930.549984,66562.42478,1189.17843,270.2678249,300,68321.87104,74191,2710.876,75078,887.2307692,69209.10181,0.208839347,75078
2016/2/29,aarachminov,350758,BR,0.3,D,,,,VS1,4.27,4.31,2.67,4.27-4.31x2.67,Very Good,GIA,2600,-27,1898,62.2,58,stk,TK,0,n,,Excellent,Excellent,None,,,35,,41,,GIA 2155815508,,2155815508,,,,,,,,CHINA,1,G,569.4,64922,0.1,6492.2,71414.2,17.082,1947.68964,1298.45976,5453.451952,73621.60135,1315.294937,298.9306674,300,75535.82696,82028,2993.008,82915,887.2307692,76423.05773,0.208538548,82915
2016/2/29,aarachminov,419091,BR,0.3,G,,,,VVS1,4.3,4.33,2.63,4.3-4.33x2.63,Excellent,GIA,2400,-24,1824,61,60,m,STK,0,n,,Excellent,Excellent,None,,,33.5,,41.4,,GIA 2196261974,,2196261974,,,,AP56,,,,ISRAEL,1,G,547.2,62391,0.1,6239.1,68630.1,16.416,1871.75232,1247.83488,5240.846976,70751.43418,1264.017645,287.2767374,300,72602.72856,78841,2878.276,79728,887.2307692,73489.95933,0.208647785,79728
2016/2/29,aarachminov,460912,BR,0.3,D,,,,VVS2,4.28,4.3,2.64,4.28-4.3x2.64,Excellent,GIA,2800,-17,2324,61.6,57,m,STK,0,n,,Excellent,Excellent,None,,,36,,40.6,,GIA 6212581070,,6212581070,,,,,,,,ISRAEL,1,M,697.2,79494,0.1,7949.4,87443.4,20.916,2384.84232,1589.89488,6677.498976,90146.23618,1610.517645,366.0267374,300,92422.78056,100372,3653.392,101259,887.2307692,93310.01133,0.208006217,101259
